id,baseMean,baseMean1_M0,baseMean2_M2,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M2_S3,X8534M2_S6,X8535M2_S9,X8536M2_S12
Cd24a,13430.84214,19385.25134,7476.432945,0.385676348,-1.37453742,1.08E-56,4.00E-54,20807.92943,17965.78372,18760.7135,20006.57869,8356.590697,6630.625339,6711.908265,8206.60748
Atp6v0a1,8211.619453,4274.418312,12148.82059,2.842216111,1.507016256,8.23E-56,2.98E-53,3655.247658,4480.420755,4163.051087,4798.953749,10942.62842,13017.87787,12764.177,11870.59908
6330416G13Rik,3988.293929,2250.755215,5725.832643,2.543960625,1.347076341,2.41E-55,8.54E-53,2547.501035,2286.936115,2255.262153,1913.321556,5911.766772,5656.107228,5457.47855,5877.978022
Ttll11,538.5163755,248.8374968,828.1952542,3.328257457,1.734767037,3.47E-54,1.21E-51,185.5027646,286.6545269,240.4855529,282.7071428,786.7625912,866.6947168,785.2851609,874.0385481
Lrmp,1952.713402,1072.518517,2832.908288,2.641360725,1.401281341,5.85E-54,2.00E-51,1118.286553,1069.966897,1068.929879,1032.89074,2989.505719,2778.762919,2793.58863,2769.775882
Hbegf,233.8950324,42.61462529,425.1754395,9.977218773,3.318637709,3.87E-51,1.30E-48,36.88975433,45.15071302,36.92494709,51.49308672,343.9084342,493.9338374,423.5473513,439.3121349
Dse,10776.1044,6392.852771,15159.35602,2.371297536,1.245676695,1.28E-50,4.20E-48,6257.556327,6499.602642,6179.721274,6634.53084,16388.48572,15628.23092,14243.55291,14377.15454
Ptpro,4380.146006,1908.045561,6852.246451,3.591238381,1.84448142,1.64E-50,5.29E-48,2070.042214,1698.92683,1957.96899,1905.244209,7523.717478,7338.152188,6009.711341,6537.404796
Niacr1,2481.33601,923.8104815,4038.861538,4.371958989,2.128279868,2.02E-50,6.39E-48,1020.265205,914.5644429,1010.228681,750.1835967,4586.086215,4074.697436,4009.514041,3485.14846
Cblb,965.8893346,499.342415,1432.436254,2.868645265,1.520369576,2.62E-50,8.15E-48,433.1911151,616.3597336,490.4390409,457.3797703,1344.893318,1441.752823,1575.636678,1367.462199
Dusp22,556.6617365,268.8960902,844.4273827,3.140348311,1.650924584,3.03E-50,9.28E-48,304.6039715,252.0039797,288.7720222,230.2043877,879.9444854,852.3182642,842.0283467,803.4184346
Ldlrad3,689.9626724,347.655902,1032.269443,2.969227436,1.570087605,6.88E-50,2.07E-47,339.3857398,360.1556876,373.036645,318.0455356,1090.324226,1102.879296,1003.138464,932.7357853
Clcn5,2514.375711,1443.80734,3584.944082,2.482979537,1.312072372,1.32E-49,3.92E-47,1258.467619,1556.124574,1455.221633,1505.415535,3809.890643,3601.301388,3437.015827,3491.568471
P2ry6,2193.362255,1252.182998,3134.541511,2.503261516,1.323809018,2.67E-49,7.77E-47,1278.493486,1251.619766,1339.712824,1138.905918,3050.025918,3100.179325,3297.184405,3090.776398
Cav2,5296.823243,7877.548283,2716.098202,0.344789788,-1.53621105,3.44E-49,9.86E-47,7067.022937,7470.86798,8715.234308,8257.067906,2775.283426,2631.917724,2737.858716,2719.332943
Zcchc2,4774.815752,2818.048431,6731.583073,2.388739313,1.256249419,5.65E-49,1.59E-46,2609.686621,2899.095783,2748.541575,3014.869744,6282.573072,6802.115882,7184.092633,6657.550704
Itsn1,9508.644042,5692.337309,13324.95078,2.340857552,1.227037145,8.42E-49,2.34E-46,5539.787107,5981.944467,5626.793861,5620.823799,13578.61932,13472.78991,14005.43419,12242.95968
Pgm2l1,1057.311088,1564.405247,550.2169291,0.351709974,-1.507541845,9.16E-49,2.50E-46,1487.184096,1715.727095,1650.261097,1404.448699,580.225403,554.5203164,555.2726041,510.8493927
Ust,964.836598,519.9626874,1409.710509,2.711176288,1.438918924,4.77E-48,1.28E-45,513.2945817,582.759203,526.4171945,457.3797703,1529.33583,1385.273902,1356.770104,1367.462199
Ctla2b,5735.088733,8048.48064,3421.696827,0.425135747,-1.234004525,9.25E-48,2.45E-45,8127.339875,8473.633816,7850.811828,7742.137039,3695.574711,3544.822467,2772.309936,3674.080193
Abcd2,5456.325668,1992.96167,8919.689666,4.47559519,2.162079553,1.97E-47,5.14E-45,2298.758691,1771.377974,1971.224099,1930.485918,10299.0009,8994.524911,7748.484678,8636.748171
C3ar1,17934.49694,10905.79035,24963.20353,2.288986193,1.194708761,2.10E-47,5.40E-45,10576.81956,11057.72462,11964.62965,10023.98755,26102.45803,23583.54368,25048.06345,25118.74896
Ak2,4979.578632,2840.131564,7119.0257,2.506583072,1.325722048,6.57E-46,1.67E-43,2994.394059,2787.794025,3057.196261,2521.141913,7437.26005,7210.817893,7552.923341,6275.101517
Nrg1,938.2613321,188.0731017,1688.449563,8.977623845,3.16633365,4.87E-45,1.22E-42,149.6670033,180.6028521,182.7311484,239.291403,1613.871982,1564.97956,1497.614797,2077.331911
Mfsd6,733.0427374,1075.534259,390.551216,0.36312299,-1.461469822,4.96E-45,1.22E-42,1100.368672,1054.216648,988.4524299,1159.099285,386.17651,392.2717794,392.1359449,391.6206296
A630055G03Rik,108.7311747,26.29807732,191.1642721,7.269134915,2.861783682,1.37E-44,3.34E-42,14.75590173,26.25041455,36.92494709,27.26104591,183.4818741,197.1627792,190.494981,193.517454
Gm4951,698.2111236,101.5136575,1294.90859,12.75600369,3.673104515,1.61E-44,3.87E-42,88.53541039,72.45114415,141.0722338,103.9958418,1586.974116,1162.438886,1341.571036,1088.650322
Dusp6,1359.450102,1934.26721,784.6329947,0.405648708,-1.301697201,5.57E-44,1.32E-41,1885.593443,1905.780096,1977.851653,1967.843647,766.5891914,869.7753852,752.8604833,749.306919
Adc,109.3382045,27.58914664,191.0872624,6.92617517,2.792058875,1.74E-43,4.06E-41,34.78176837,18.90029847,28.40380546,28.27071428,207.4978262,175.5981002,209.7471333,171.50599
Cgnl1,7677.11868,10591.70356,4762.533801,0.449647573,-1.153133413,5.93E-43,1.37E-40,10525.17391,10849.82134,10128.79703,10863.02196,4721.536185,4549.120374,4794.799202,4984.679443
Gata6,738.0885843,346.672676,1129.504493,3.258129558,1.704043973,6.54E-43,1.49E-40,355.1956346,350.7055384,345.5796331,335.2098979,1253.6327,1157.304438,1144.996428,962.0844039
Csf3r,9228.434714,4969.463094,13487.40633,2.714057048,1.440451046,8.29E-43,1.86E-40,5244.669073,5347.734452,4826.753341,4458.695509,13765.94375,14931.99985,13340.72829,11910.95344
Rai14,12838.08258,8087.264211,17588.90095,2.174888873,1.120941688,1.03E-41,2.29E-39,7551.859708,7858.324099,8260.773421,8678.099615,16731.43352,17117.22066,18117.28861,18389.66099
Bcar3,796.1610776,223.2932953,1369.02886,6.131079117,2.616141022,4.03E-41,8.84E-39,174.9628348,232.0536646,266.0489778,220.107704,1146.041235,1563.95267,1498.628068,1267.493466
Ppp2r3a,1225.124169,718.6372755,1731.611063,2.409575904,1.268779248,7.82E-41,1.69E-38,671.3935288,762.3120385,713.8823105,726.9612243,1907.827236,1588.598018,1661.764728,1768.254271
Dapk1,13656.02593,18646.57222,8665.479638,0.464722392,-1.105558935,8.32E-41,1.78E-38,18377.42161,19276.20441,18244.71104,18687.95181,8222.101365,8587.876679,9161.997967,8689.942543
Bhlhe40,11597.12412,6861.847685,16332.40056,2.380175327,1.251067848,3.00E-40,6.34E-38,5964.546279,6387.250868,7464.520074,7631.073518,15066.64772,15539.91842,16985.46471,17737.57137
Ankrd55,137.9230996,43.4249612,232.421238,5.352249758,2.42014544,4.66E-39,9.73E-37,33.72777539,52.5008291,35.97815358,51.49308672,191.1669788,239.2652477,264.4637768,234.7889489
6330409N04Rik,1859.672222,2576.487102,1142.857343,0.443571925,-1.17276004,9.11E-39,1.88E-36,2363.052263,2464.388918,2796.828044,2681.679183,1186.388034,1209.675801,1072.040903,1103.324631
Mtss1,3252.219753,2009.964033,4494.475474,2.236097463,1.160983071,5.59E-38,1.14E-35,1898.241359,2026.532003,2042.233612,2072.849158,4134.586316,4206.139289,4677.259745,4959.916546
Abtb2,1266.576947,764.2804161,1768.873477,2.31442994,1.210656891,8.30E-38,1.67E-35,770.468869,826.36305,755.5412252,704.7485202,1840.58257,1821.701928,1571.583593,1841.625818
Raf1,7975.923864,10820.05817,5131.789556,0.47428484,-1.076174341,8.36E-38,1.67E-35,10811.86,11061.92469,10529.29068,10877.15732,5129.807371,5094.398685,4850.529116,5452.423052
Prkar2b,5435.350387,7382.370243,3488.33053,0.472521753,-1.081547348,1.15E-37,2.28E-35,7276.76754,7749.122375,7636.836494,6866.754564,3479.431142,3713.232341,3416.750403,3343.908233
Plekha3,2866.121763,1808.400928,3923.842598,2.169785769,1.117552607,1.22E-37,2.37E-35,1824.46185,1834.378969,1694.760392,1880.002499,4182.61822,3911.42201,3799.766907,3801.563255
Zfp609,752.4615498,364.1286538,1140.794446,3.132943353,1.647518684,1.31E-37,2.52E-35,302.4959855,354.9056047,357.8879488,441.2250764,1010.591265,1076.18017,1248.350088,1228.05626
Pcyox1l,144.388047,51.5947202,237.1813739,4.597008627,2.200695374,2.81E-37,5.36E-35,55.86162799,49.35077935,42.60570819,58.56076529,245.9233496,232.0770213,263.4505056,207.274619
Chi3l4,37.76290534,1.531033198,73.99477749,48.32996278,5.594845979,4.36E-37,8.24E-35,2.107985962,1.050016582,0.946793515,2.019336734,83.57551335,52.37136322,82.0749652,77.95726819
Pex26,557.4105906,269.5723661,845.2488152,3.135517292,1.648703476,4.64E-37,8.68E-35,307.7659504,258.3040792,268.8893583,243.3300765,928.9370277,833.8342536,719.4225345,898.8014451
Ptpre,17582.71177,11477.54699,23687.87655,2.063844877,1.045334539,5.94E-37,1.10E-34,11762.56167,11816.88661,11845.33367,10485.40599,25407.9167,24119.57999,22743.8848,22480.12471
Limk1,1338.039659,815.374495,1860.704822,2.282024804,1.190314473,6.88E-37,1.26E-34,834.7624408,751.8118727,822.7635648,852.1601018,1694.565581,1767.276786,2026.542351,1954.434571
Ampd2,3198.116178,2041.304325,4354.92803,2.133404597,1.093157596,2.12E-36,3.84E-34,2051.070341,1920.480328,2120.817474,2072.849158,4382.430941,4014.110957,4682.326101,4340.844122
4930420K17Rik,1841.092341,1150.696907,2531.487774,2.199960526,1.137477638,3.29E-36,5.90E-34,1164.662244,1139.267991,1173.077165,1125.780229,2528.399438,2545.659008,2545.337192,2506.555458
Pparg,285.7624785,62.66553233,508.8594246,8.120244187,3.021523112,4.13E-36,7.34E-34,49.5376701,90.30142605,49.23326279,61.58977039,428.4445857,616.1336849,457.9985712,532.8608567
Sntb2,2630.92553,3587.998368,1673.852692,0.46651434,-1.100006665,4.67E-36,8.21E-34,3718.487236,3716.008683,3675.452426,3242.045127,1655.17942,1602.97447,1786.397082,1650.859797
Tbc1d16,1080.39781,390.5527675,1770.242852,4.532659858,2.180357902,1.03E-35,1.80E-33,434.2451081,392.7062016,391.9725153,343.2872448,1956.819778,1686.152518,1977.905334,1460.093776
Pla2g15,4284.632691,2320.718482,6248.5469,2.692505337,1.428949205,3.56E-35,6.14E-33,2665.548249,1984.53134,2319.644112,2313.150229,7129.855863,5917.964044,6173.861271,5772.506424
Hfe,1496.066095,854.4089731,2137.723217,2.501990597,1.323076368,5.31E-35,9.06E-33,935.945767,822.1629837,826.5507388,832.9764028,2451.548392,2017.837818,2071.126282,2010.380375
Cd164,23535.82018,13497.41048,33574.22988,2.487457126,1.314671659,8.55E-35,1.45E-32,12992.57148,12242.14333,13598.79526,15156.13186,37960.57455,30646.48949,31916.01548,33773.84001
Arhgap26,302.2350748,151.2910516,453.1790981,2.99541244,1.582754662,1.09E-34,1.83E-32,139.1270735,152.2524044,124.976744,188.8079846,465.909471,431.2935795,446.8525883,468.6607535
Plxdc2,11636.87251,7710.175637,15563.56939,2.018575208,1.01333734,1.14E-34,1.89E-32,7360.032985,7856.224066,7361.319581,8263.125916,14812.07862,15163.04999,15538.51347,16740.63549
Oit3,528.2227143,295.7460065,760.6994221,2.572137596,1.362967821,1.16E-34,1.91E-32,249.7963365,303.4547922,323.8033822,305.9295152,673.4072972,774.2746641,804.5373132,790.5784139
Il1rl2,576.0941079,327.4743371,824.7138787,2.518407659,1.332511834,1.28E-34,2.08E-32,295.1180346,382.2060358,326.6437628,305.9295152,826.1487526,870.8022747,847.0947026,754.809785
