id,baseMean,baseMean1_M0,baseMean2_M1,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M1_S2,X8534M1_S5,X8535M1_S8,X8536M1_S11
D14Ertd668e,2412.373413,456.0967499,4368.650075,9.578340729,3.259775757,1.81E-182,3.22E-180,497.9776038,429.9606148,465.5303582,430.9184226,4709.602916,4478.746873,4373.61753,3912.632984
Slc7a2,276894.0032,66806.45262,486981.5539,7.28943889,2.865807766,5.92E-179,1.04E-176,69337.06492,66396.14848,74712.53075,56780.06635,525785.6493,479532.7312,464025.6984,478582.1366
Mx1,6044.89365,123.0221813,11966.76512,97.27323145,6.60397094,2.84E-174,4.94E-172,152.4088575,103.0946456,120.7469367,115.8382856,13906.94593,12159.32671,11492.37798,10308.40985
St7,2449.353352,525.2840964,4373.422607,8.325823373,3.057592953,3.75E-174,6.46E-172,551.7689652,527.4609773,509.9012204,512.0052226,4111.768977,4581.867537,4229.381207,4570.672707
Gm6377,2511.205176,494.8232733,4527.587079,9.149907297,3.193757127,9.37E-174,1.60E-171,441.7411804,704.8796697,410.2486282,422.423615,4956.70761,4553.859455,4415.492591,4184.288661
Marcksl1,15471.78014,1134.841595,29808.71868,26.26685416,4.715171522,1.51E-172,2.55E-170,1164.664478,1573.591916,1035.805047,765.3049405,30203.89909,32698.16222,30764.21182,25568.60159
Samhd1,24981.78242,5003.756871,44959.80797,8.98521034,3.167552277,2.32E-170,3.88E-168,5035.197441,4723.97248,4978.265268,5277.592294,47329.84865,43668.41855,40574.60816,48266.35653
Samd9l,14047.69354,3480.976653,24614.41043,7.071121954,2.821939141,4.85E-170,8.05E-168,3622.766692,3222.307061,3788.25329,3290.579568,26688.63554,24431.95885,24142.13613,23194.91121
Tnfaip2,148340.528,37824.07938,258856.9766,6.84370858,2.774778328,5.19E-169,8.53E-167,38402.95698,38523.83174,37152.23215,37217.29667,265276.1893,254934.6514,242192.5603,273024.5054
Cerk,4368.869384,7692.326114,1045.412653,0.135903319,-2.879347401,5.20E-166,8.47E-164,7537.310769,7864.762845,7911.106524,7456.12432,1024.288815,1056.668534,1025.939006,1074.754257
Fzd1,8615.544589,2160.864341,15070.22484,6.974165177,2.802020534,5.78E-166,9.34E-164,2185.070304,2045.110062,2081.066179,2332.210818,14653.57409,14718.2469,15822.95725,15086.12111
Pdgfrb,575.2575748,44.38173486,1106.133415,24.92316756,4.639415532,1.71E-165,2.74E-163,42.38107266,50.34854783,40.00651516,44.79080378,1154.483761,1070.672575,1224.845548,974.5317745
Ifi204,9023.708929,973.4740704,17073.94379,17.53918703,4.132509973,6.78E-165,1.07E-162,1058.711796,896.6836614,1061.99113,876.5096947,19504.00011,16137.7474,16373.14903,16280.8786
Stat2,4043.280177,636.8262151,7449.734138,11.69822153,3.548217309,2.81E-164,4.41E-162,677.282142,588.9980913,691.0216254,590.0030016,7058.426034,7116.598925,8405.255391,7218.656202
Mtss1,837.9465358,1541.174677,134.7183949,0.087412801,-3.516011626,3.08E-164,4.80E-162,1467.852151,1542.423767,1568.982785,1585.440003,139.4945857,117.124705,88.40290752,193.8513814
Rgs9,638.4178588,46.6050333,1230.230684,26.39694894,4.722299282,7.00E-164,1.08E-161,30.97078387,44.75426474,45.82564463,64.86943996,1255.451271,1051.576156,1300.453297,1313.442013
Snx30,1252.922464,2266.762661,239.082267,0.105473004,-3.24505431,3.88E-163,5.94E-161,2227.451377,2382.365414,2294.919188,2162.314665,195.2924199,283.9001002,258.2295457,218.9070021
Ccl3,49105.45191,882.9938908,97327.90992,110.2248962,6.784306308,4.76E-163,7.22E-161,722.9232971,1090.08602,902.6924602,816.2737862,86865.27127,114742.745,99824.33053,87879.2929
Areg,2420.567787,2.299491705,4838.836083,2104.306823,11.03912936,3.51E-162,5.29E-160,2.445061884,0.799183299,3.636955923,2.316765713,4102.469338,4613.694902,5959.053885,4680.126208
Ifnb1,161.3286819,0.181847796,322.475516,1773.326501,10.79224247,3.61E-162,5.39E-160,0,0,0.727391185,0,330.801446,282.6270056,325.6949224,350.7786901
Cd274,30101.18481,8035.51569,52166.85392,6.4920356,2.698670911,2.07E-159,3.07E-157,8353.961438,8528.084983,8547.573811,6712.442526,55177.41549,54866.55883,49410.24613,49213.19525
Il18bp,2010.099583,462.2784996,3557.920667,7.696487442,2.944200172,3.18E-158,4.67E-156,505.3127894,446.7434641,430.6155813,466.4421635,3733.140816,3555.753273,3177.851886,3764.936693
Gpr126,2541.518666,606.4538406,4476.583491,7.381573322,2.883928348,7.91E-158,1.15E-155,534.6535321,581.0062583,707.0242315,603.1313406,4191.480169,4569.136591,4455.041261,4690.675943
Tgm2,36413.95379,7440.777668,65387.12991,8.787674195,3.135481383,8.78E-158,1.27E-155,9111.930622,8412.203405,6756.736714,5482.239932,72929.0979,61860.94067,63325.56169,63432.91937
Trex1,8125.026181,1887.164096,14362.88827,7.610831669,2.928054112,1.45E-157,2.07E-155,2216.856109,1760.600808,1785.745358,1785.454109,15830.64269,14096.97673,13189.48116,14334.45249
Parp12,7359.594259,1930.14145,12789.04707,6.62596364,2.728130287,6.26E-157,8.89E-155,2198.925655,1788.572223,1978.504022,1754.5639,13461.89178,12304.4595,12788.17849,12601.65851
Eif2ak2,5485.427319,1421.091697,9549.762941,6.720018813,2.748465272,1.11E-156,1.57E-154,1561.579523,1369.000991,1428.596287,1325.189988,9981.169734,9075.891545,9916.247192,9225.743294
Plek,186749.4006,51240.29098,322258.5102,6.289162377,2.652867884,1.91E-156,2.68E-154,57118.27566,50928.75491,51448.37849,45465.75486,336569.8792,334043.478,308447.0499,309973.6337
Gm14023,2138.504229,185.2035924,4091.804865,22.0935502,4.465553358,1.18E-155,1.64E-153,165.4491875,180.6154256,223.3090937,171.4406628,3962.974752,4311.971477,4522.506637,3569.766595
9430076C15Rik,365.9074329,38.09279029,693.7220754,18.21137465,4.18676792,2.22E-155,3.06E-153,30.15576324,39.95916495,43.64347108,38.61276188,724.0433255,751.1258257,694.4281025,605.291048
Sp140,3729.556286,576.6455711,6882.467001,11.93535049,3.577169028,3.44E-155,4.70E-153,696.842637,572.215242,557.1816475,480.3427578,7563.263582,6685.019849,7135.045194,6146.539379
Cxcl10,14745.51865,27.71545829,29463.32184,1063.064573,10.05401352,5.76E-155,7.81E-153,22.00555696,23.17631567,49.46260056,16.21735999,24354.42614,28467.66879,28475.04179,36556.15064
Slc39a14,5090.044866,1329.042707,8851.047025,6.659716031,2.735460662,3.83E-154,5.15E-152,1211.935674,1365.804258,1427.141504,1311.289394,9488.288864,8331.131192,9115.96824,8468.799805
Kalrn,235.2808361,12.10225983,458.4594123,37.88213264,5.243445647,7.23E-154,9.66E-152,10.59526817,15.18448268,8.728694216,13.90059428,427.783396,524.5149834,429.2193799,452.3198899
4930404N11Rik,708.8401475,1304.219963,113.4603322,0.086994783,-3.522927309,2.33E-153,3.08E-151,1174.444725,1375.394457,1395.136292,1271.904376,79.7111918,159.1368275,108.1772421,106.8160673
Mab21l3,1600.622518,18.89426329,3182.350773,168.4294711,7.396000787,3.19E-153,4.19E-151,22.82057759,21.57794907,20.36695317,10.81157333,3835.436846,2898.836449,3075.490625,2919.639173
Calcrl,6081.803242,1619.113988,10544.4925,6.512507811,2.703213198,3.84E-153,5.01E-151,1766.149701,1396.972407,1697.003634,1616.330212,10177.79067,10374.44806,11184.131,10441.60026
Nfkbia,16365.69231,4499.788795,28231.59582,6.273982426,2.649381488,4.30E-153,5.57E-151,4646.432601,4680.816582,4553.468816,4118.437182,28614.98934,28444.75309,28273.80886,27592.832
Tmem86a,488.0419657,948.4717225,27.61220885,0.029112316,-5.102226556,5.70E-153,7.33E-151,1018.775785,1024.552989,928.8785428,821.6795729,13.28519863,33.10046012,33.7326884,30.33048825
Abtb2,2356.413635,586.0574142,4126.769856,7.041579471,2.815899071,5.34E-151,6.83E-149,595.7800792,628.9572563,580.4581654,539.0341559,3863.335763,4082.814446,4380.596707,4180.33251
Kcna3,2317.805013,575.5780344,4060.031991,7.053834143,2.818407654,5.97E-151,7.58E-149,612.8955124,580.207075,559.363821,549.8457292,4070.584861,4146.469177,4300.336172,3722.737753
Cd38,22418.93219,5101.465983,39736.3984,7.789211677,2.961477325,7.23E-150,9.10E-148,4570.635683,6836.213939,4834.241813,4164.772497,42684.01469,41841.52778,36654.63713,37765.41402
